FacilityGroupCd|Description__ENG|Description__ID
10|Location|Lokasi
20|Hotel type|Tipe Hotel
30|Methods of payment|Metode Pembayaran
40|Distances (in meters)|Jarak (dalam meter)
60|Room facilities (Standard room)|Fasilitas Kamar (Kamar Standar)
61|Room Distribution|Pembagian Kamar
62|Room distribution Alternative|Alternatif Pembagian Kamar
70|Facilities|Fasilitas
71|Catering|Katering
72|Business|Bisnis
73|Entertainment|Hiburan
74|Health|Kesehatan
75|Green Programmes - Worldwide|Green Programmes - Seluruh Dunia
76|Green Programmes - Europe|Green Programmes - Eropa
77|Green Programmes - Americas|Green Programmes - Amerika
78|Green Programmes - Asia-Pacific|Green Programmes - Asia Pasifik
79|Green Programmes - Africa|Green Programmes -Afrika
80|Meals|Makanan
85|Things to keep in mind|Perlu Diingat
90|Sports|Olahraga
100|Points of interest|Tempat Menarik
